"Province","Total_BEV","Total_ICE","Total_PHEV","Car_BEV","Car_ICE","Car_PHEV","Truck_BEV","Truck_ICE","Truck_PHEV"
"Alberta",2572,2970816,1986,1937,900881,1162,635,2069935,824
"British Columbia",31918,2927069,12916,25690,1138884,8414,6228,1788185,4502
"Manitoba",505,769043,523,423,254439,356,82,514604,167
"New Brunswick",237,531878,345,180,216847,246,57,315031,99
"Newfoundland and Labrador",85,341501,118,71,117391,91,14,224110,27
"Northwest Territories",6,21622,11,5,3670,10,1,17952,1
"Nova Scotia",304,589493,397,246,262200,301,58,327293,96
"Nunavut",0,0,0,0,0,0,0,0,0
"Ontario",24574,8540292,21632,19855,3594559,15875,4719,4945733,5757
"Prince Edward Island",72,96959,75,63,42194,56,9,54765,19
"Quebec",42524,5311890,38729,34928,2662348,30292,7596,2649542,8437
"Saskatchewan",314,762970,303,244,210452,199,70,552518,104
"Yukon",21,32843,20,21,8715,15,0,24128,5
